Debris in Orbit: 0
Debris out of Orbit: 98
Debris ID: 4821 | Name: THORAD AGENA D DEB | Country: US | Orbit: LEO | Launch Year: 1970 | Longitude: 178.2103203 | Avg Longitude -72.04940003 | Geohash: "34.742221,-120.57243" | Days Old: 20024
Debris ID: 35670 | Name: COSMOS 2251 DEB | Country: CIS | Orbit: LEO | Launch Year: 1993 | Longitude: 39.99585443 | Avg Longitude 50.95457541 | Geohash: "62.925556,40.577778" | Days Old: 11554
Debris ID: 52828 | Name: ATLAS 5 CENTAUR DEB | Country: US | Orbit: HEO | Launch Year: 2014 | Longitude: -17.6569177 | Avg Longitude 1.314486171 | Geohash: "28.4917337,-80.5825555" | Days Old: 3791
Debris ID: 39645 | Name: COSMOS 1867 COOLANT | Country: CIS | Orbit: LEO | Launch Year: 1987 | Longitude: 142.5517496 | Avg Longitude 26.19027854 | Geohash: "45.965,63.305" | Days Old: 13722
Debris ID: 55520 | Name: CZ-6A DEB | Country: PRC | Orbit: LEO | Launch Year: 2022 | Longitude: -18.74394719 | Avg Longitude 115.2530708 | Geohash: "38.849086,111.608497" | Days Old: 814
Debris ID: 29922 | Name: FENGYUN 1C DEB | Country: PRC | Orbit: LEO | Launch Year: 1999 | Longitude: -21.84739066 | Avg Longitude -42.29037244 | Geohash: "38.849086,111.608497" | Days Old: 9400
Debris ID: 29539 | Name: CZ-4B DEB | Country: PRC | Orbit: LEO | Launch Year: 2006 | Longitude: 26.25180283 | Avg Longitude 127.1089658 | Geohash: "38.849086,111.608497" | Days Old: 6857
Debris ID: 53093 | Name: COSMOS 2251 DEB | Country: CIS | Orbit: LEO | Launch Year: 1993 | Longitude: -1.027667928 | Avg Longitude 145.8261586 | Geohash: "62.925556,40.577778" | Days Old: 11554
Debris ID: 52967 | Name: ATLAS 5 CENTAUR DEB | Country: US | Orbit: HEO | Launch Year: 2018 | Longitude: 0.0 | Avg Longitude 0.0 | Geohash: "28.4917337,-80.5825555" | Days Old: 2300
Debris ID: 10730 | Name: DELTA 1 DEB | Country: US | Orbit: LEO | Launch Year: 1975 | Longitude: -27.86336164 | Avg Longitude -80.3044203 | Geohash: "34.742221,-120.57243" | Days Old: 18197
Debris ID: 26222 | Name: CZ-4 DEB | Country: PRC | Orbit: LEO | Launch Year: 1999 | Longitude: -158.5481305 | Avg Longitude -177.5567996 | Geohash: "38.849086,111.608497" | Days Old: 9243
Debris ID: 33776 | Name: IRIDIUM 33 DEB | Country: US | Orbit: LEO | Launch Year: 1997 | Longitude: -161.531332 | Avg Longitude -162.0095456 | Geohash: "45.965,63.305" | Days Old: 10003
Debris ID: 12529 | Name: DELTA 1 DEB | Country: US | Orbit: LEO | Launch Year: 1976 | Longitude: -49.97556469 | Avg Longitude 63.24844584 | Geohash: "34.742221,-120.57243" | Days Old: 17720
Debris ID: 50802 | Name: COSMOS 2499 DEB | Country: CIS | Orbit: LEO | Launch Year: 2014 | Longitude: 0.0 | Avg Longitude 84.37778856 | Geohash: "62.925556,40.577778" | Days Old: 3908
Debris ID: 29301 | Name: METEOR 2-17 DEB | Country: CIS | Orbit: LEO | Launch Year: 1988 | Longitude: -141.5791444 | Avg Longitude 53.88615572 | Geohash: "62.925556,40.577778" | Days Old: 13518
Debris ID: 32119 | Name: FENGYUN 1C DEB | Country: PRC | Orbit: LEO | Launch Year: 1999 | Longitude: 156.1541958 | Avg Longitude -76.53691091 | Geohash: "38.849086,111.608497" | Days Old: 9400
Debris ID: 61819 | Name: CZ-6A DEB | Country: PRC | Orbit: LEO | Launch Year: 2024 | Longitude: 0.0 | Avg Longitude 22.59503966 | Geohash: "38.849086,111.608497" | Days Old: 180
Debris ID: 12542 | Name: DELTA 1 DEB | Country: US | Orbit: LEO | Launch Year: 1976 | Longitude: -32.49004766 | Avg Longitude 127.1862917 | Geohash: "34.742221,-120.57243" | Days Old: 17720
Debris ID: 55551 | Name: CZ-6A DEB | Country: PRC | Orbit: LEO | Launch Year: 2022 | Longitude: -1.727916014 | Avg Longitude 120.2147444 | Geohash: "38.849086,111.608497" | Days Old: 814
